Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
98,Delhi,India,2020-03-11,5,0
99,Haryana,India,2020-03-11,14,0
100,Karnataka,India,2020-03-11,4,0
101,Kerala,India,2020-03-11,17,0
102,Maharashtra,India,2020-03-11,10,0
103,Punjab,India,2020-03-11,1,0
104,Rajasthan,India,2020-03-11,3,0
105,Tamil Nadu,India,2020-03-11,1,0
106,Telengana,India,2020-03-11,1,0
107,Union Territory of Jammu and Kashmir,India,2020-03-11,1,0
108,Union Territory of Ladakh,India,2020-03-11,2,0
109,Uttar Pradesh,India,2020-03-11,9,0
110,Andhra Pradesh,India,2020-03-12,1,0
111,Delhi,India,2020-03-12,6,0
112,Haryana,India,2020-03-12,14,0
113,Karnataka,India,2020-03-12,4,1
114,Kerala,India,2020-03-12,17,0
115,Maharashtra,India,2020-03-12,11,0
116,Punjab,India,2020-03-12,1,0
117,Rajasthan,India,2020-03-12,3,0
118,Tamil Nadu,India,2020-03-12,1,0
119,Telengana,India,2020-03-12,1,0
120,Union Territory of Jammu and Kashmir,India,2020-03-12,1,0
121,Union Territory of Ladakh,India,2020-03-12,3,0
122,Uttar Pradesh,India,2020-03-12,11,0
123,Andhra Pradesh,India,2020-03-13,1,0
124,Delhi,India,2020-03-13,6,0
125,Haryana,India,2020-03-13,14,0
126,Karnataka,India,2020-03-13,5,1
127,Kerala,India,2020-03-13,17,0
128,Maharashtra,India,2020-03-13,11,0
129,Punjab,India,2020-03-13,1,0
130,Rajasthan,India,2020-03-13,3,0
131,Tamil Nadu,India,2020-03-13,1,0
132,Telengana,India,2020-03-13,1,0
133,Union Territory of Jammu and Kashmir,India,2020-03-13,1,0
134,Union Territory of Ladakh,India,2020-03-13,3,0
135,Uttar Pradesh,India,2020-03-13,11,0
136,Andhra Pradesh,India,2020-03-14,1,0
137,Delhi,India,2020-03-14,7,1
138,Haryana,India,2020-03-14,14,0
139,Karnataka,India,2020-03-14,6,1
140,Kerala,India,2020-03-14,19,0
141,Maharashtra,India,2020-03-14,14,0
142,Punjab,India,2020-03-14,1,0
143,Rajasthan,India,2020-03-14,3,0
144,Tamil Nadu,India,2020-03-14,1,0
145,Telengana,India,2020-03-14,1,0
146,Union Territory of Jammu and Kashmir,India,2020-03-14,2,0
147,Union Territory of Ladakh,India,2020-03-14,3,0
148,Uttar Pradesh,India,2020-03-14,12,0
149,Andhra Pradesh,India,2020-03-15,1,0
150,Delhi,India,2020-03-15,7,1
151,Haryana,India,2020-03-15,14,0
152,Karnataka,India,2020-03-15,6,1
153,Kerala,India,2020-03-15,23,0
154,Maharashtra,India,2020-03-15,32,0
155,Punjab,India,2020-03-15,1,0
156,Rajasthan,India,2020-03-15,4,0
157,Tamil Nadu,India,2020-03-15,1,0
158,Telengana,India,2020-03-15,3,0
159,Union Territory of Jammu and Kashmir,India,2020-03-15,2,0
160,Union Territory of Ladakh,India,2020-03-15,3,0
161,Uttar Pradesh,India,2020-03-15,13,0
162,Uttarakhand,India,2020-03-15,1,0
163,Andhra Pradesh,India,2020-03-16,1,0
164,Delhi,India,2020-03-16,7,1
165,Haryana,India,2020-03-16,14,0
166,Karnataka,India,2020-03-16,6,1
167,Kerala,India,2020-03-16,23,0
168,Maharashtra,India,2020-03-16,32,0
169,Odisha,India,2020-03-16,1,0
170,Punjab,India,2020-03-16,1,0
171,Rajasthan,India,2020-03-16,4,0
172,Tamil Nadu,India,2020-03-16,1,0
173,Telengana,India,2020-03-16,3,0
174,Union Territory of Jammu and Kashmir,India,2020-03-16,3,0
175,Union Territory of Ladakh,India,2020-03-16,4,0
176,Uttar Pradesh,India,2020-03-16,13,0
177,Uttarakhand,India,2020-03-16,1,0
178,Andhra Pradesh,India,2020-03-17,1,0
179,Delhi,India,2020-03-17,8,1
180,Haryana,India,2020-03-17,15,0
181,Karnataka,India,2020-03-17,11,1
182,Kerala,India,2020-03-17,26,0
183,Maharashtra,India,2020-03-17,39,1
184,Odisha,India,2020-03-17,1,0
185,Punjab,India,2020-03-17,1,0
186,Rajasthan,India,2020-03-17,4,0
187,Tamil Nadu,India,2020-03-17,1,0
188,Telengana,India,2020-03-17,5,0
189,Union Territory of Jammu and Kashmir,India,2020-03-17,3,0
190,Union Territory of Ladakh,India,2020-03-17,6,0
191,Uttar Pradesh,India,2020-03-17,15,0
192,Uttarakhand,India,2020-03-17,1,0
193,Andhra Pradesh,India,2020-03-18,1,0
194,Delhi,India,2020-03-18,10,1
195,Haryana,India,2020-03-18,17,0
196,Karnataka,India,2020-03-18,11,1
197,Kerala,India,2020-03-18,27,0
198,Maharashtra,India,2020-03-18,42,1
199,Odisha,India,2020-03-18,1,0
200,Puducherry,India,2020-03-18,1,0
201,Punjab,India,2020-03-18,1,0
202,Rajasthan,India,2020-03-18,4,0
203,Tamil Nadu,India,2020-03-18,1,0
204,Telengana,India,2020-03-18,6,0
205,Union Territory of Jammu and Kashmir,India,2020-03-18,3,0
206,Union Territory of Ladakh,India,2020-03-18,8,0
207,Uttar Pradesh,India,2020-03-18,16,0
208,Uttarakhand,India,2020-03-18,1,0
209,West Bengal,India,2020-03-18,1,0
210,Andhra Pradesh,India,2020-03-19,2,0
211,Chhattisgarh,India,2020-03-19,1,0
212,Delhi,India,2020-03-19,12,1
213,Haryana,India,2020-03-19,17,0
214,Karnataka,India,2020-03-19,14,1
215,Kerala,India,2020-03-19,27,0
216,Maharashtra,India,2020-03-19,47,1
217,Odisha,India,2020-03-19,1,0
218,Puducherry,India,2020-03-19,1,0
219,Punjab,India,2020-03-19,2,1
220,Rajasthan,India,2020-03-19,7,0
221,Tamil Nadu,India,2020-03-19,2,0
222,Telengana,India,2020-03-19,6,0
223,Union Territory of Chandigarh,India,2020-03-19,1,0
224,Union Territory of Jammu and Kashmir,India,2020-03-19,4,0
225,Union Territory of Ladakh,India,2020-03-19,8,0
226,Uttar Pradesh,India,2020-03-19,19,0
227,Uttarakhand,India,2020-03-19,1,0
228,West Bengal,India,2020-03-19,1,0
229,Andhra Pradesh,India,2020-03-20,2,0
230,Chhattisgarh,India,2020-03-20,1,0
231,Delhi,India,2020-03-20,17,1
232,Gujarat,India,2020-03-20,2,0
233,Haryana,India,2020-03-20,17,0
234,Karnataka,India,2020-03-20,15,1
235,Kerala,India,2020-03-20,28,0
236,Maharashtra,India,2020-03-20,47,1
237,Odisha,India,2020-03-20,1,0
238,Puducherry,India,2020-03-20,1,0
239,Punjab,India,2020-03-20,2,1
240,Rajasthan,India,2020-03-20,7,0
241,Tamil Nadu,India,2020-03-20,3,0
242,Telengana,India,2020-03-20,16,0
243,Union Territory of Chandigarh,India,2020-03-20,1,0
244,Union Territory of Jammu and Kashmir,India,2020-03-20,4,0
245,Union Territory of Ladakh,India,2020-03-20,10,0
246,Uttar Pradesh,India,2020-03-20,19,0
247,Uttarakhand,India,2020-03-20,1,0
248,West Bengal,India,2020-03-20,1,0
249,Andhra Pradesh,India,2020-03-21,3,0
250,Chandigarh,India,2020-03-21,1,0
251,Chhattisgarh,India,2020-03-21,1,0
252,Delhi,India,2020-03-21,26,1
253,Gujarat,India,2020-03-21,7,0
254,Haryana,India,2020-03-21,17,0
255,Himachal Pradesh,India,2020-03-21,2,0
256,Jammu and Kashmir,India,2020-03-21,4,0
257,Karnataka,India,2020-03-21,15,1
258,Kerala,India,2020-03-21,40,0
259,Ladakh,India,2020-03-21,13,0
260,Madhya Pradesh,India,2020-03-21,4,0
261,Maharashtra,India,2020-03-21,63,1
262,Odisha,India,2020-03-21,2,0
263,Puducherry,India,2020-03-21,1,0
264,Punjab,India,2020-03-21,13,1
265,Rajasthan,India,2020-03-21,17,0
266,Tamil Nadu,India,2020-03-21,3,0
267,Telengana,India,2020-03-21,21,0
268,Uttar Pradesh,India,2020-03-21,24,0
269,Uttarakhand,India,2020-03-21,3,0
270,West Bengal,India,2020-03-21,3,0
271,Andhra Pradesh,India,2020-03-22,5,0
272,Bihar,India,2020-03-22,2,1
273,Chandigarh,India,2020-03-22,5,0
274,Chhattisgarh,India,2020-03-22,1,0
275,Delhi,India,2020-03-22,29,1
276,Gujarat,India,2020-03-22,18,1
277,Haryana,India,2020-03-22,21,0
278,Himachal Pradesh,India,2020-03-22,2,0
279,Jammu and Kashmir,India,2020-03-22,4,0
280,Karnataka,India,2020-03-22,26,1
281,Kerala,India,2020-03-22,52,0
282,Ladakh,India,2020-03-22,13,0
283,Madhya Pradesh,India,2020-03-22,4,0
284,Maharashtra,India,2020-03-22,67,2
285,Odisha,India,2020-03-22,2,0
286,Puducherry,India,2020-03-22,1,0
287,Punjab,India,2020-03-22,21,1
288,Rajasthan,India,2020-03-22,24,0
289,Tamil Nadu,India,2020-03-22,7,0
290,Telengana,India,2020-03-22,22,0
291,Uttar Pradesh,India,2020-03-22,27,0
292,Uttarakhand,India,2020-03-22,3,0
293,West Bengal,India,2020-03-22,4,0
294,Andhra Pradesh,India,2020-03-23,7,0
295,Bihar,India,2020-03-23,2,1
296,Chandigarh,India,2020-03-23,6,0
297,Chhattisgarh,India,2020-03-23,1,0
298,Delhi,India,2020-03-23,29,1
299,Gujarat,India,2020-03-23,29,1
300,Haryana,India,2020-03-23,26,0
301,Himachal Pradesh,India,2020-03-23,2,0
302,Jammu and Kashmir,India,2020-03-23,4,0
303,Karnataka,India,2020-03-23,33,1
304,Kerala,India,2020-03-23,67,0
305,Ladakh,India,2020-03-23,13,0
306,Madhya Pradesh,India,2020-03-23,6,0
307,Maharashtra,India,2020-03-23,74,2
308,Odisha,India,2020-03-23,2,0
309,Puducherry,India,2020-03-23,1,0
310,Punjab,India,2020-03-23,21,1
311,Rajasthan,India,2020-03-23,28,0
312,Tamil Nadu,India,2020-03-23,9,0
313,Telengana,India,2020-03-23,32,0
314,Uttar Pradesh,India,2020-03-23,31,0
315,Uttarakhand,India,2020-03-23,3,0
316,West Bengal,India,2020-03-23,7,1
317,Andhra Pradesh,India,2020-03-24,8,0
318,Bihar,India,2020-03-24,3,1
319,Chandigarh,India,2020-03-24,7,0
320,Chhattisgarh,India,2020-03-24,1,0
321,Delhi,India,2020-03-24,30,2
322,Gujarat,India,2020-03-24,33,1
323,Haryana,India,2020-03-24,28,0
324,Himachal Pradesh,India,2020-03-24,3,1
325,Jammu and Kashmir,India,2020-03-24,4,0
326,Karnataka,India,2020-03-24,37,1
327,Kerala,India,2020-03-24,95,0
328,Ladakh,India,2020-03-24,13,0
329,Madhya Pradesh,India,2020-03-24,7,0
330,Maharashtra,India,2020-03-24,89,2
331,Manipur,India,2020-03-24,1,0
332,Odisha,India,2020-03-24,2,0
333,Puducherry,India,2020-03-24,1,0
334,Punjab,India,2020-03-24,29,1
335,Rajasthan,India,2020-03-24,32,0
336,Tamil Nadu,India,2020-03-24,15,0
337,Telengana,India,2020-03-24,35,0
338,Uttar Pradesh,India,2020-03-24,33,0
339,Uttarakhand,India,2020-03-24,4,0
340,West Bengal,India,2020-03-24,9,1
341,Andhra Pradesh,India,2020-03-25,9,0
342,Bihar,India,2020-03-25,4,1
343,Chandigarh,India,2020-03-25,7,0
344,Chhattisgarh,India,2020-03-25,1,0
345,Delhi,India,2020-03-25,31,1
346,Gujarat,India,2020-03-25,38,1
347,Haryana,India,2020-03-25,28,0
348,Himachal Pradesh,India,2020-03-25,3,1
349,Jammu and Kashmir,India,2020-03-25,7,0
350,Karnataka,India,2020-03-25,41,1
